Frequency (Hz)	Level (dB)
131.750000	-45.637699
131.875000	-46.439571
132.000000	-45.758904
132.125000	-45.816353
132.250000	-46.230801
132.375000	-45.405582
132.500000	-45.833794
132.625000	-45.857101
132.750000	-45.647915
132.875000	-46.580666
133.000000	-46.214863
133.125000	-46.452526
133.250000	-46.924343
133.375000	-46.180740
133.500000	-46.650860
133.625000	-46.655930
133.750000	-45.941917
133.875000	-46.624451
134.000000	-46.113617
134.125000	-45.957340
134.250000	-46.574642
134.375000	-45.868305
134.500000	-46.476341
134.625000	-46.662392
134.750000	-46.190384
134.875000	-47.144627
135.000000	-46.695847
135.125000	-46.551010
135.250000	-47.330723
135.375000	-46.706276
135.500000	-46.977409
135.625000	-47.159107
135.750000	-46.412182
135.875000	-46.818008
136.000000	-46.367931
136.125000	-46.212147
136.250000	-46.967117
136.375000	-46.468704
136.500000	-46.872910
136.625000	-47.306576
136.750000	-46.677326
136.875000	-47.424114
137.000000	-47.252399
137.125000	-46.963596
137.250000	-47.649235
137.375000	-47.034771
137.500000	-47.249805
137.625000	-47.572849
137.750000	-46.766735
137.875000	-47.264050
138.000000	-47.087132
138.125000	-46.629307
138.250000	-47.442169
138.375000	-46.976624
138.500000	-47.254025
138.625000	-47.676476
138.750000	-47.096954
138.875000	-47.821373
139.000000	-47.970104
139.125000	-47.517860
139.250000	-48.333218
139.375000	-47.660351
139.500000	-47.480526
139.625000	-47.868542
139.750000	-47.195580
139.875000	-47.631401
140.000000	-47.751656
140.125000	-47.119217
140.250000	-48.027599
140.375000	-47.467751
140.500000	-47.553791
140.625000	-48.101460
140.750000	-47.604137
140.875000	-48.211792
141.000000	-48.461502
141.125000	-47.899418
141.250000	-48.698387
141.375000	-48.198574
141.500000	-47.806950
141.625000	-48.367294
141.750000	-47.639153
141.875000	-48.056160
142.000000	-48.271381
142.125000	-47.531384
142.250000	-48.280354
142.375000	-47.993843
142.500000	-47.738144
142.625000	-48.672363
142.750000	-48.114559
142.875000	-48.468929
143.000000	-48.771160
143.125000	-48.225517
143.250000	-48.907513
143.375000	-48.768494
143.500000	-48.276665
143.625000	-49.116337
143.750000	-48.370724
143.875000	-48.621197
144.000000	-48.719837
144.125000	-47.987072
144.250000	-48.479233
144.375000	-48.529240
144.500000	-48.172443
144.625000	-49.145287
144.750000	-48.539253
144.875000	-48.710152
145.000000	-49.056778
145.125000	-48.490856
145.250000	-49.204208
145.375000	-49.369541
145.500000	-48.894432
145.625000	-49.571224
145.750000	-49.018826
145.875000	-48.855717
146.000000	-49.312119
146.125000	-48.588356
146.250000	-48.911442
146.375000	-49.043320
146.500000	-48.434631
146.625000	-49.209587
146.750000	-48.886906
146.875000	-48.894104
147.000000	-49.551044
147.125000	-48.811012
147.250000	-49.528908
147.375000	-49.852043
147.500000	-49.377895
147.625000	-49.948158
147.750000	-49.663361
147.875000	-49.293903
148.000000	-49.981194
148.125000	-49.208477
148.250000	-49.495289
148.375000	-49.704082
148.500000	-48.945339
148.625000	-49.374676
148.750000	-49.129948
148.875000	-48.942001
149.000000	-49.970200
149.125000	-49.376320
149.250000	-49.848167
149.375000	-50.237621
149.500000	-49.661427
149.625000	-50.294117
149.750000	-50.181286
149.875000	-49.856544
150.000000	-50.681431
150.125000	-50.066780
150.250000	-49.961132
150.375000	-50.255066
150.500000	-49.373203
150.625000	-49.942070
150.750000	-49.873016
150.875000	-49.436317
151.000000	-50.267395
151.125000	-49.716301
151.250000	-49.848526
151.375000	-50.403702
151.500000	-49.836029
151.625000	-50.572784
151.750000	-50.760941
151.875000	-50.212021
152.000000	-50.896034
152.125000	-50.316956
152.250000	-50.391747
152.375000	-50.886299
152.500000	-50.140404
152.625000	-50.428158
152.750000	-50.710503
152.875000	-50.125076
153.000000	-50.749096
153.125000	-50.266495
153.250000	-49.987545
153.375000	-50.732937
153.500000	-50.088398
153.625000	-50.612732
153.750000	-50.935825
153.875000	-50.330894
154.000000	-51.019318
154.125000	-50.642860
154.250000	-50.465431
154.375000	-51.391190
154.500000	-50.953739
154.625000	-51.373344
154.750000	-51.505642
154.875000	-50.711105
155.000000	-51.178257
155.125000	-51.065559
155.250000	-50.531090
155.375000	-51.334946
155.500000	-50.535168
155.625000	-50.767227
155.750000	-51.048859
155.875000	-50.339794
156.000000	-50.923111
156.125000	-51.034779
156.250000	-50.827202
156.375000	-51.873386
156.500000	-51.292053
156.625000	-51.476879
156.750000	-51.923691
156.875000	-51.280411
157.000000	-51.905739
157.125000	-51.990238
157.250000	-51.321503
157.375000	-52.075367
157.500000	-51.347775
